playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties,shots_against,saves,save_pct,gsax,gsax_per_60
8475156,2021,Mikko Koskinen,EDM,G,all,45,157718.0,129.16,136.0,2441.0,97.08,99.0,312.31,330.0,1383.01,1397.0,45.18,51.0,777.64,604.0,551.46,685.0,124.58,1403.0,405.0,105.0,45.27,48.39,35.5,49.0,53.0,34.0,528.0,4.0,2.0,1383.01,1261.0,0.9117793797586424,-6.840000000000003,-0.0026021126314054207
8478499,2021,Adin Hill,SJS,G,all,25,82573.0,56.91,61.0,1257.0,43.93,36.0,149.26,164.0,650.38,648.0,23.0,21.0,361.94,264.0,270.06,356.0,55.22,680.0,175.0,48.0,19.8,20.83,16.29,22.0,21.0,18.0,354.0,0.0,0.0,650.38,587.0,0.9025492788831145,-4.090000000000003,-0.0029719157593886647
8478009,2021,Ilya Sorokin,NYI,G,all,52,184337.0,135.77,123.0,3082.0,111.16,119.0,375.2,287.0,1606.66,1643.0,48.46,71.0,920.09,754.0,657.97,897.0,131.36,1746.0,388.0,122.0,52.35,46.82,36.6,59.0,38.0,26.0,826.0,0.0,0.0,1606.66,1520.0,0.9460620168548417,12.77000000000001,0.004156517682288421
8476434,2021,John Gibson,ANA,G,all,56,194135.0,157.74,172.0,3219.0,123.88,146.0,404.19,433.0,1771.22,1789.0,49.42,49.0,1007.48,776.0,737.65,905.0,149.96,1868.0,501.0,121.0,55.84,60.81,41.07,73.0,74.0,25.0,729.0,12.0,6.0,1771.22,1617.0,0.9129300707986585,-14.259999999999991,-0.004407242382877891
8476341,2021,Anton Forsberg,OTT,G,all,46,154287.0,129.46,121.0,2593.0,102.05,102.0,318.15,352.0,1415.67,1457.0,41.37,48.0,795.24,647.0,564.55,686.0,124.22,1404.0,434.0,117.0,42.33,52.33,34.79,40.0,50.0,31.0,638.0,2.0,1.0,1415.67,1336.0,0.9437227602477978,8.460000000000008,0.0032899725835618065
8479394,2021,Carter Hart,PHI,G,all,45,156184.0,130.44,137.0,2596.0,100.26,113.0,315.95,378.0,1413.54,1441.0,42.19,51.0,774.92,575.0,568.42,681.0,126.51,1378.0,439.0,118.0,40.32,52.89,37.23,47.0,49.0,41.0,661.0,0.0,0.0,1413.54,1304.0,0.9225066145988087,-6.560000000000002,-0.00252010449213748
8476509,2021,Maxime Lagace,TBL,G,all,2,5888.0,6.05,10.0,84.0,4.02,6.0,10.88,19.0,51.93,58.0,1.94,3.0,26.83,9.0,18.63,22.0,5.83,40.0,23.0,5.0,1.3,3.15,1.6,1.0,7.0,2.0,16.0,0.0,0.0,51.93,48.0,0.9243212016175621,-3.95,-0.040251358695652176
8478433,2021,Felix Sandstrom,PHI,G,all,5,17835.0,21.24,16.0,318.0,13.0,14.0,41.03,33.0,182.43,177.0,5.06,3.0,97.3,77.0,68.57,100.0,19.37,157.0,68.0,22.0,5.47,8.29,7.47,3.0,7.0,6.0,71.0,0.0,0.0,182.43,161.0,0.882530285588993,5.239999999999998,0.017628259041211097
8475809,2021,Scott Wedgewood,DAL,G,all,37,126290.0,111.6,110.0,2136.0,83.75,108.0,275.42,327.0,1192.3,1218.0,29.62,25.0,663.52,496.0,476.61,569.0,107.03,1224.0,304.0,122.0,35.27,37.73,38.6,33.0,34.0,43.0,486.0,0.0,0.0,1192.3,1108.0,0.9292963180407616,1.5999999999999943,0.0007601551983529943
8477180,2021,Aaron Dell,BUF,G,all,12,33923.0,33.64,38.0,594.0,23.71,29.0,72.18,76.0,335.68,355.0,7.65,9.0,188.08,147.0,135.75,163.0,32.06,329.0,102.0,33.0,10.33,12.2,11.11,11.0,14.0,13.0,130.0,2.0,1.0,335.68,317.0,0.944351763584366,-4.359999999999999,-0.007711582112431092
8480591,2021,Thomas Hodges,ANA,G,all,1,1156.0,0.34,1.0,8.0,0.17,0.0,0.71,0.0,2.76,3.0,0.3,0.0,1.61,1.0,1.05,2.0,0.34,2.0,2.0,0.0,0.11,0.22,0.0,0.0,1.0,0.0,4.0,0.0,0.0,2.76,2.0,0.7246376811594204,-0.6599999999999999,-0.0342560553633218
8480280,2021,Jeremy Swayman,BOS,G,all,41,143414.0,100.15,96.0,2064.0,75.62,65.0,254.92,279.0,1110.16,1111.0,43.95,44.0,626.62,487.0,458.0,580.0,95.86,1166.0,285.0,101.0,31.58,33.76,34.8,30.0,32.0,34.0,512.0,6.0,3.0,1110.16,1015.0,0.9142826259277941,4.150000000000006,0.0017362321670129858
8480022,2021,Michael Dipietro,VAN,G,all,1,3441.0,2.48,3.0,31.0,1.28,2.0,3.8,1.0,16.96,17.0,1.26,0.0,8.65,5.0,6.23,11.0,2.4,13.0,7.0,3.0,0.36,0.93,1.19,1.0,1.0,1.0,8.0,0.0,0.0,16.96,14.0,0.8254716981132075,-0.52,-0.009067131647776809
8480925,2021,Pavel Francouz,COL,G,all,21,72009.0,52.94,51.0,1060.0,40.68,45.0,132.55,158.0,575.83,608.0,22.6,20.0,325.91,222.0,231.63,311.0,50.98,582.0,168.0,53.0,15.88,20.61,16.45,17.0,17.0,17.0,257.0,0.0,0.0,575.83,557.0,0.9672993765521073,1.9399999999999977,0.0016164646085905909
8479193,2021,Casey DeSmith,PIT,G,all,26,85089.0,65.38,66.0,1328.0,51.53,67.0,172.45,184.0,741.96,769.0,26.7,27.0,408.69,301.0,303.09,380.0,63.01,781.0,179.0,66.0,22.28,21.58,21.53,24.0,19.0,23.0,302.0,0.0,0.0,741.96,703.0,0.9474904307509838,-0.6200000000000045,-0.00043718929591369355
8481597,2021,Hugo Alnefelt,TBL,G,all,1,1200.0,0.84,3.0,13.0,0.5,0.0,1.57,3.0,7.72,10.0,0.4,0.0,3.51,2.0,3.31,2.0,0.84,6.0,3.0,1.0,0.17,0.46,0.21,1.0,2.0,0.0,3.0,0.0,0.0,7.72,7.0,0.9067357512953368,-2.16,-0.10800000000000001
8474596,2021,Jake Allen,MTL,G,all,35,116860.0,104.85,107.0,2005.0,78.56,93.0,254.85,251.0,1096.02,1123.0,28.55,17.0,605.15,516.0,423.45,494.0,100.83,1081.0,309.0,112.0,32.13,38.47,34.26,34.0,40.0,33.0,503.0,2.0,1.0,1096.02,1016.0,0.9269903833871644,-2.1500000000000057,-0.00110388499058703
8482076,2021,Nico Daws,NJD,G,all,25,76292.0,58.36,66.0,1119.0,41.52,40.0,146.5,163.0,634.73,617.0,22.05,19.0,353.81,223.0,261.65,366.0,56.63,660.0,178.0,45.0,19.87,21.38,17.11,29.0,16.0,21.0,236.0,0.0,0.0,634.73,551.0,0.868085642714225,-7.640000000000001,-0.006008493682168511
8474667,2021,Harri Sateri,ARI,G,all,6,17902.0,18.59,21.0,301.0,12.79,14.0,38.72,26.0,178.49,157.0,4.51,1.0,100.22,89.0,69.91,88.0,17.42,177.0,46.0,23.0,5.75,5.33,7.51,10.0,4.0,7.0,55.0,0.0,0.0,178.49,136.0,0.7619474480363045,-2.41,-0.008077309797787957
8477967,2021,Thatcher Demko,VAN,G,all,64,222039.0,178.5,168.0,3543.0,132.66,142.0,430.75,486.0,1896.48,1967.0,61.93,64.0,1076.17,857.0,781.08,937.0,172.0,1954.0,547.0,161.0,58.13,65.56,54.81,57.0,61.0,50.0,881.0,2.0,1.0,1896.48,1799.0,0.9485995106724036,10.5,0.002837339386324024
8474682,2021,Dustin Tokarski,BUF,G,all,29,100286.0,80.26,91.0,1463.0,60.26,72.0,192.98,192.0,855.26,900.0,25.5,27.0,475.93,348.0,348.79,443.0,76.38,859.0,242.0,85.0,25.68,29.08,25.51,32.0,33.0,26.0,277.0,0.0,0.0,855.26,809.0,0.9459111849028365,-10.739999999999995,-0.0064256227190235896
8482821,2021,Arvid Soderblom,CHI,G,all,3,9349.0,7.25,13.0,173.0,6.51,7.0,21.8,15.0,91.85,95.0,2.33,6.0,51.46,36.0,37.87,53.0,7.11,105.0,19.0,4.0,3.02,2.27,1.96,8.0,1.0,4.0,45.0,0.0,0.0,91.85,82.0,0.8927599346761024,-5.75,-0.036902342496523695
8476904,2021,Chris Driedger,SEA,G,all,27,88704.0,71.44,73.0,1306.0,50.96,63.0,165.69,179.0,726.19,722.0,22.08,21.0,404.93,300.0,291.79,372.0,68.72,733.0,209.0,67.0,22.18,25.98,23.29,20.0,25.0,28.0,297.0,4.0,2.0,726.19,649.0,0.8937055040691829,-1.5600000000000023,-0.0010551948051948068
8471695,2021,Tuukka Rask,BOS,G,all,4,11781.0,9.56,14.0,164.0,6.53,3.0,19.4,12.0,92.95,90.0,3.23,4.0,48.49,41.0,37.28,50.0,9.42,86.0,26.0,12.0,1.8,3.4,4.36,3.0,5.0,6.0,40.0,2.0,1.0,92.95,76.0,0.8176438945669715,-4.4399999999999995,-0.022612681436210848
8478007,2021,Elvis Merzlikins,CBJ,G,all,59,199207.0,182.03,178.0,3296.0,130.73,125.0,413.84,447.0,1875.61,1922.0,54.15,62.0,1041.19,780.0,755.92,993.0,174.36,1874.0,550.0,160.0,57.35,67.7,56.99,60.0,73.0,45.0,712.0,8.0,4.0,1875.61,1744.0,0.9298308283705035,4.030000000000001,0.0012138127676236282
8474636,2021,Michael Hutchinson,TOR,G,all,2,4723.0,4.09,6.0,65.0,3.02,4.0,8.55,11.0,39.59,42.0,1.3,2.0,20.56,13.0,14.61,17.0,3.9,32.0,15.0,5.0,0.84,1.89,1.36,3.0,2.0,1.0,13.0,0.0,0.0,39.59,36.0,0.9093205354887597,-1.9100000000000001,-0.024264238831251325
8481544,2021,Mads Sogaard,OTT,G,all,2,7038.0,6.13,6.0,89.0,4.01,4.0,11.15,10.0,51.78,54.0,2.0,1.0,29.26,26.0,19.74,24.0,5.9,50.0,13.0,9.0,1.33,1.78,3.01,1.0,1.0,4.0,17.0,0.0,0.0,51.78,48.0,0.9269988412514484,0.1299999999999999,0.0011082693947144066
8471239,2021,Cory Schneider,NYI,G,all,1,3600.0,3.75,3.0,63.0,2.41,3.0,8.41,10.0,36.91,30.0,1.11,3.0,21.41,13.0,13.71,20.0,3.47,34.0,13.0,4.0,1.19,1.54,1.02,0.0,1.0,2.0,12.0,0.0,0.0,36.91,27.0,0.7315090761311298,0.75,0.0125
8479581,2021,Jack LaFontaine,CAR,G,all,2,4497.0,3.4,9.0,66.0,2.57,3.0,8.89,8.0,37.42,41.0,1.33,0.0,20.54,8.0,15.31,23.0,3.29,36.0,15.0,1.0,1.15,1.91,0.34,2.0,6.0,1.0,14.0,0.0,0.0,37.42,32.0,0.85515766969535,-5.6,-0.07471647765176784
8480193,2021,Daniil Tarasov,CBJ,G,all,4,10491.0,9.62,7.0,197.0,7.34,15.0,24.46,18.0,105.1,111.0,2.19,2.0,56.54,58.0,42.55,45.0,9.14,103.0,34.0,7.0,3.14,4.55,1.92,1.0,4.0,2.0,53.0,0.0,0.0,105.1,104.0,0.9895337773549001,2.619999999999999,0.014984272233342862
8476234,2021,Keith Kinkaid,NYR,G,all,1,3600.0,2.24,2.0,51.0,2.08,3.0,7.03,6.0,29.68,31.0,0.91,1.0,17.43,12.0,12.27,19.0,2.15,33.0,8.0,1.0,0.94,1.09,0.21,1.0,1.0,0.0,9.0,0.0,0.0,29.68,29.0,0.977088948787062,0.2400000000000002,0.0040000000000000036
8481033,2021,Akira Schmid,NJD,G,all,6,14159.0,9.72,19.0,205.0,7.21,9.0,25.58,33.0,107.91,114.0,4.01,5.0,60.32,45.0,44.48,42.0,9.48,112.0,31.0,8.0,3.53,4.01,2.18,6.0,13.0,0.0,54.0,0.0,0.0,107.91,95.0,0.8803632656843666,-9.28,-0.0393248110742284
8467950,2021,Craig Anderson,BUF,G,all,31,112035.0,88.31,97.0,1634.0,66.14,74.0,208.66,166.0,931.42,945.0,29.14,34.0,524.86,410.0,379.81,513.0,85.07,957.0,263.0,79.0,29.1,32.87,26.33,36.0,34.0,27.0,335.0,0.0,0.0,931.42,848.0,0.9104378261149643,-8.689999999999998,-0.004653902798232694
8475311,2021,Darcy Kuemper,COL,G,all,57,195525.0,158.97,138.0,3079.0,121.21,148.0,390.92,437.0,1700.59,1755.0,56.24,69.0,955.93,707.0,676.91,876.0,148.04,1737.0,464.0,160.0,48.07,56.61,54.3,48.0,44.0,46.0,718.0,2.0,1.0,1700.59,1617.0,0.9508464709306771,20.97,0.006434982738780207
8475789,2021,Jack Campbell,TOR,G,all,49,167724.0,120.66,123.0,2472.0,95.69,94.0,315.44,406.0,1381.95,1431.0,51.64,55.0,769.01,555.0,570.03,692.0,115.72,1421.0,393.0,102.0,42.07,46.65,31.95,37.0,53.0,33.0,556.0,0.0,0.0,1381.95,1308.0,0.9464886573320308,-2.3400000000000034,-0.0008370895041854488
8476316,2021,Laurent Brossoit,VGK,G,all,24,76886.0,60.68,62.0,1179.0,42.89,46.0,135.73,103.0,608.84,588.0,22.38,29.0,336.41,261.0,245.63,346.0,58.91,583.0,203.0,55.0,17.14,25.56,17.98,22.0,25.0,15.0,338.0,0.0,0.0,608.84,526.0,0.8639379804217856,-1.3200000000000003,-0.001030096506516141
8478971,2021,Connor Ingram,NSH,G,all,3,10665.0,8.53,11.0,166.0,6.21,8.0,20.96,20.0,88.72,91.0,3.31,5.0,47.63,40.0,34.77,38.0,7.88,86.0,27.0,8.0,2.75,3.52,2.25,5.0,4.0,2.0,45.0,0.0,0.0,88.72,80.0,0.9017132551848512,-2.4700000000000006,-0.013895921237693393
